Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.6508502085164436,0.8160127220054945,0.8177889843040975,0.8207253758780038
sigma_IY,2.2590615871998567,1.800727396898565,1.8005895229193396,1.7978379190424216
sigma_NY,0.17722317736630147,0.24975165006531705,0.2514972811907523,0.25392887383201573
sigma_PrY,0.783283339538281,0.9388313624704753,0.9391224489440279,0.9403903547977478
rho_IY,0.9508383929927655,0.9152317801056653,0.9132966421601808,0.9108527711282975
rho_KY,0.800888809190459,0.6597025791163327,0.6621685906270782,0.6646330543349843
rho_CY,0.9257426746818397,0.9504127083178447,0.9495988840310289,0.9487864164463227
rho_NY,-0.36547388306041884,-0.7267588494204327,-0.7232584318550049,-0.7205803814757991
rho_PrY,0.9699685226736947,0.995092736146375,0.9951197350983035,0.9951079963978249
rho_PrN,-0.13250979017731526,-0.6560380501664118,-0.6533698005150939,-0.6523424119398508
