Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.7560485134432979,0.8835462378194985,0.8848995525157806,0.8869660391245774
sigma_IY,2.0548433343930936,1.6664229201370877,1.6659433468827998,1.6635307078742125
sigma_NY,0.13946639393855645,0.1063188603781706,0.10665789496743053,0.1068765430385734
sigma_PrY,0.7034456428918998,0.7991148214198931,0.7992375505186843,0.7998418528743628
rho_IY,0.912979425992613,0.8791478812701833,0.8775829446344003,0.8757000114269906
rho_KY,0.8430766155819445,0.7034857034267459,0.7051805132063276,0.7068586457026933
rho_CY,0.9201939644326224,0.94881891899937,0.9483482379199389,0.9479476768493085
rho_NY,0.7216237252568796,0.5017310478606976,0.49634902290227473,0.48923988494595533
rho_PrY,0.9690061421963654,0.9905258473908659,0.9906009977258192,0.9906959934456842
rho_PrN,0.8694972025758932,0.6143623502088335,0.6081562538047411,0.5998220156184414
