Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.8319725832238771,0.9176124654094092,0.9181789086881293,0.9189609246938127
sigma_IY,2.0105700728507414,1.7009247718607714,1.7006241338234154,1.6995564890304018
sigma_NY,0.32452644165300065,0.1979816017291052,0.1979333336175528,0.19783918901786085
sigma_PrY,0.5809575740994828,0.7104648461347607,0.7105005342254033,0.7106842832371083
rho_IY,0.8574920961847649,0.8316755245887489,0.8310321954369998,0.8303046509043648
rho_KY,0.8852065062415432,0.7445657800798811,0.7451837204723448,0.7457961409346415
rho_CY,0.8977850397719978,0.9315405568192484,0.9313684290480491,0.9312558302061056
rho_NY,0.9613128114618903,0.9614512389343004,0.9613224512649449,0.9611919631636583
rho_PrY,0.9707977319334204,0.9861658359963938,0.9862100778132677,0.9862745071345383
rho_PrN,0.9992990213391318,0.9936971079778352,0.9935916466185869,0.9934559958340167
