Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.7464722836628951,0.8492859775621024,0.8506304378036946,0.8526701959698758
sigma_IY,2.0926768796167208,1.78205069086649,1.7815507999820674,1.7791816803626077
sigma_NY,0.21518217619629687,0.17439833603934535,0.1748223623228538,0.17505244475294465
sigma_PrY,0.6663309113077751,0.7582030675265479,0.7584333105802382,0.7592282220952947
rho_IY,0.9134937377250808,0.8867167556397031,0.885309809694146,0.8836141143829708
rho_KY,0.8376911501737468,0.6918997999437166,0.6935349075413962,0.6951614107508078
rho_CY,0.915595211973288,0.9401574735625269,0.9396583584211585,0.9392367820985402
rho_NY,0.7300466513206134,0.5723011835655115,0.5674905308366992,0.5612366854059321
rho_PrY,0.9761709115785586,0.9926439185185867,0.9927143586321525,0.9927865239692641
rho_PrN,0.8602420924370708,0.6662583339861783,0.6604792466220868,0.6528131193008708
