Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.7353846411352568,0.8093339422445568,0.8106496185709952,0.8126246874268539
sigma_IY,2.1361361841937816,1.9146700340619733,1.9140905849943655,1.9117371932652227
sigma_NY,0.29605106392701747,0.2563593806678974,0.25679052818457637,0.25695101826774913
sigma_PrY,0.6272663537068491,0.7044970845648382,0.7048359682680002,0.7058100649110258
rho_IY,0.9142188921021385,0.8954489410243074,0.8942312113098891,0.8927642391048081
rho_KY,0.8314392556207642,0.6795388924079271,0.6810966962387037,0.6826504481068406
rho_CY,0.9101126124794234,0.9290949205330744,0.9285859538068139,0.928165693069943
rho_NY,0.7394725900470428,0.6393341257085849,0.635257422094191,0.6300351649186694
rho_PrY,0.9831869428815129,0.9943305902233105,0.9943851962782081,0.9944182155200452
rho_PrN,0.8493217980028865,0.7165572152206874,0.7113630149798479,0.7045326591017829
