Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.832894728545671,0.9045364965794022,0.9050693698977896,0.9057983486802222
sigma_IY,2.0064949263955394,1.7498111510604115,1.7494901546407138,1.7484600387034677
sigma_NY,0.2161389906130365,0.3012587130625148,0.3011894884466941,0.30105684373697084
sigma_PrY,0.6497584845494031,0.6403575248754569,0.6404168362484838,0.6406312607551838
rho_IY,0.8573651296363083,0.835521421855078,0.8349460619082609,0.8342978891905053
rho_KY,0.8857748363311865,0.7417688603638218,0.7423424031757155,0.7429078037167712
rho_CY,0.8983341932758554,0.9267825277810853,0.9266254147464772,0.9265278054197364
rho_NY,0.9613232873877768,0.9612090747518965,0.9610918134797919,0.9609730964528055
rho_PrY,0.9699072849656797,0.9863866161531825,0.986437245020222,0.9865071256942716
rho_PrN,0.9994019149902357,0.9934622161959964,0.9933523738652807,0.9932103854328623
