Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.6263386651362587,0.6830447946774271,0.6847569301794261,0.6875567249984325
sigma_IY,2.345715940329235,2.21368987026042,2.2136404346391263,2.2112929776122376
sigma_NY,0.2620714194598113,0.39799399704459126,0.4018267474352011,0.4067544341734969
sigma_PrY,0.7878408461104932,0.9013235327052941,0.9020964352812341,0.9043129972796037
rho_IY,0.9518992590672686,0.9375262595360709,0.9361871816161549,0.934482822124058
rho_KY,0.7876431035357759,0.6124188592972941,0.6146726863589079,0.616976477346932
rho_CY,0.9153440613676932,0.9192694683308528,0.9181759145404325,0.9170654644879418
rho_NY,-0.2611647741655679,-0.41202145612810626,-0.409569160410928,-0.4090302410992074
rho_PrY,0.9834081587108656,0.999372569569078,0.9992024726347969,0.9988466714524322
rho_PrN,-0.08499604537215136,-0.3808567895161279,-0.38047153464744615,-0.3831849290754948
