Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.6013143711475266,0.7500311017248066,0.7517897599344666,0.7546905560668815
sigma_IY,2.4336342952263363,2.007747952832442,2.00770756768881,2.0051765027623314
sigma_NY,0.3476004409214862,0.3325949430910908,0.33539372450407445,0.33914703305776295
sigma_PrY,0.7834692900820288,0.9349188951396648,0.9354520700574057,0.937216250183029
rho_IY,0.9532336208101883,0.9266641937888633,0.9250316383591211,0.9229605185948029
rho_KY,0.7737608979674165,0.6361203981938647,0.638481945970992,0.6408754015661833
rho_CY,0.903687632003097,0.9361578706512719,0.9351916368568572,0.9342178604034264
rho_NY,-0.15029114236455193,-0.5947617481410321,-0.591137948164808,-0.5888110619847134
rho_PrY,0.9930486554317307,0.9978163273172282,0.9977672312741687,0.997615491203242
rho_PrN,-0.03506542063589027,-0.5413055656517382,-0.5391228181219808,-0.5392167395946325
