Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.830785838130381,0.8871975622338284,0.8876763708791978,0.8883222737813368
sigma_IY,2.015787794916755,1.8139705198507208,1.8136209393833655,1.8126459411304334
sigma_NY,0.4332419649786668,0.4092143250110469,0.40912817780270444,0.40896803435509965
sigma_PrY,0.5121187405155602,0.5649164655906054,0.5649959849018366,0.5652293877839605
rho_IY,0.8576607339512601,0.8406559325238362,0.8401751272173369,0.8396377689393818
rho_KY,0.8844765847287847,0.7393319266186078,0.7398387190667085,0.7403345307707122
rho_CY,0.8970808732560991,0.9201949734705722,0.9200640166056943,0.9199917957453172
rho_NY,0.9613011451852808,0.9610112057680062,0.9609113901416616,0.9608109916437368
rho_PrY,0.971902313352946,0.9860059902665155,0.9860626174443056,0.9861373674046874
rho_PrN,0.9991309286456355,0.9936444535405681,0.9935376265539763,0.9933987378679884
