DATE,PCEND
1959-01-01,127.7333333333333333
1960-01-01,131.3833333333333333
1961-01-01,134.6000000000000000
1962-01-01,139.5166666666666667
1963-01-01,143.9333333333333333
1964-01-01,152.6833333333333333
1965-01-01,163.2833333333333333
1966-01-01,177.8750000000000000
1967-01-01,185.0083333333333333
1968-01-01,199.8000000000000000
1969-01-01,214.1916666666666667
1970-01-01,228.8083333333333333
1971-01-01,239.6583333333333333
1972-01-01,257.3750000000000000
1973-01-01,286.1083333333333333
1974-01-01,321.3583333333333333
1975-01-01,349.1583333333333333
1976-01-01,377.6750000000000000
1977-01-01,408.4166666666666667
1978-01-01,450.2166666666666667
1979-01-01,511.5916666666666667
1980-01-01,573.3916666666666667
1981-01-01,625.4416666666666667
1982-01-01,646.2666666666666667
1983-01-01,678.7500000000000000
1984-01-01,721.5583333333333333
1985-01-01,757.2416666666666667
1986-01-01,774.1916666666666667
1987-01-01,814.2833333333333333
1988-01-01,862.2666666666666667
1989-01-01,929.4750000000000000
1990-01-01,994.2250000000000000
1991-01-01,1020.2416666666666667
1992-01-01,1055.1750000000000000
1993-01-01,1090.8250000000000000
1994-01-01,1139.3833333333333333
1995-01-01,1179.7916666666666667
1996-01-01,1241.3750000000000000
1997-01-01,1290.9666666666666667
1998-01-01,1329.1333333333333333
1999-01-01,1431.4916666666666667
2000-01-01,1540.5916666666666667
2001-01-01,1584.0833333333333333
2002-01-01,1613.4416666666666667
2003-01-01,1704.8083333333333333
2004-01-01,1821.4416666666666667
2005-01-01,1954.3083333333333333
2006-01-01,2081.3166666666666667
2007-01-01,2178.9916666666666667
2008-01-01,2264.4500000000000000
2009-01-01,2167.9083333333333333
2010-01-01,2268.8750000000000000
2011-01-01,2424.6166666666666667
2012-01-01,2493.5166666666666667
2013-01-01,2540.5583333333333333
2014-01-01,2620.8750000000000000
2015-01-01,2615.3916666666666667
2016-01-01,2648.1250000000000000
2017-01-01,2761.5833333333333333
2018-01-01,2890.3083333333333333
2019-01-01,2977.8583333333333333
2020-01-01,3040.8333333333333333
2021-01-01,.
