DATE,W068RCQ027SBEA
1960-01-01,148.9722500000000000
1961-01-01,161.7490000000000000
1962-01-01,174.4550000000000000
1963-01-01,182.8540000000000000
1964-01-01,192.3282500000000000
1965-01-01,204.8817500000000000
1966-01-01,232.0000000000000000
1967-01-01,261.2302500000000000
1968-01-01,288.7540000000000000
1969-01-01,309.9567500000000000
1970-01-01,341.3972500000000000
1971-01-01,373.0525000000000000
1972-01-01,406.8875000000000000
1973-01-01,438.6705000000000000
1974-01-01,492.8030000000000000
1975-01-01,576.3697500000000000
1976-01-01,616.5627500000000000
1977-01-01,665.1485000000000000
1978-01-01,735.1927500000000000
1979-01-01,814.3715000000000000
1980-01-01,935.5842500000000000
1981-01-01,1056.4497500000000000
1982-01-01,1170.2407500000000000
1983-01-01,1272.4577500000000000
1984-01-01,1368.6687500000000000
1985-01-01,1496.8432500000000000
1986-01-01,1597.8950000000000000
1987-01-01,1681.1692500000000000
1988-01-01,1764.4590000000000000
1989-01-01,1896.9932500000000000
1990-01-01,2055.4250000000000000
1991-01-01,2166.6430000000000000
1992-01-01,2339.2362500000000000
1993-01-01,2412.7517500000000000
1994-01-01,2485.7810000000000000
1995-01-01,2601.7807500000000000
1996-01-01,2696.9642500000000000
1997-01-01,2772.3527500000000000
1998-01-01,2855.5895000000000000
1999-01-01,2995.8290000000000000
2000-01-01,3142.0510000000000000
2001-01-01,3362.4047500000000000
2002-01-01,3585.2070000000000000
2003-01-01,3816.0947500000000000
2004-01-01,4019.4087500000000000
2005-01-01,4303.4955000000000000
2006-01-01,4519.9680000000000000
2007-01-01,4833.6297500000000000
2008-01-01,5260.7170000000000000
2009-01-01,5634.2362500000000000
2010-01-01,5833.4447500000000000
2011-01-01,5872.1205000000000000
2012-01-01,5842.4397500000000000
2013-01-01,5854.1225000000000000
2014-01-01,6001.7265000000000000
2015-01-01,6160.5017500000000000
2016-01-01,6373.4755000000000000
2017-01-01,6600.3747500000000000
2018-01-01,6943.1967500000000000
2019-01-01,7293.3810000000000000
2020-01-01,9147.6955000000000000
