DATE,A679RC1Q027SBEA
1947-01-01,1.7230000000000000
1948-01-01,1.8092500000000000
1949-01-01,1.6280000000000000
1950-01-01,1.8407500000000000
1951-01-01,2.1492500000000000
1952-01-01,2.4300000000000000
1953-01-01,2.6660000000000000
1954-01-01,2.4240000000000000
1955-01-01,2.8180000000000000
1956-01-01,3.3552500000000000
1957-01-01,3.9820000000000000
1958-01-01,3.6065000000000000
1959-01-01,3.9877500000000000
1960-01-01,4.8695000000000000
1961-01-01,5.2607500000000000
1962-01-01,5.7065000000000000
1963-01-01,6.5280000000000000
1964-01-01,7.3647500000000000
1965-01-01,8.5167500000000000
1966-01-01,10.6632500000000000
1967-01-01,11.2750000000000000
1968-01-01,11.9137500000000000
1969-01-01,14.6117500000000000
1970-01-01,16.6375000000000000
1971-01-01,17.3352500000000000
1972-01-01,19.4540000000000000
1973-01-01,23.0797500000000000
1974-01-01,26.9817500000000000
1975-01-01,28.5357500000000000
1976-01-01,32.7157500000000000
1977-01-01,39.1647500000000000
1978-01-01,48.6865000000000000
1979-01-01,58.4835000000000000
1980-01-01,68.7710000000000000
1981-01-01,81.4640000000000000
1982-01-01,88.2582500000000000
1983-01-01,100.0677500000000000
1984-01-01,121.5392500000000000
1985-01-01,130.3490000000000000
1986-01-01,136.7620000000000000
1987-01-01,141.1872500000000000
1988-01-01,154.0872500000000000
1989-01-01,171.3127500000000000
1990-01-01,174.9735000000000000
1991-01-01,177.9112500000000000
1992-01-01,193.1210000000000000
1993-01-01,210.5185000000000000
1994-01-01,227.3535000000000000
1995-01-01,253.8452500000000000
1996-01-01,279.1902500000000000
1997-01-01,316.5487500000000000
1998-01-01,349.3335000000000000
1999-01-01,396.4030000000000000
2000-01-01,450.6007500000000000
2001-01-01,423.5827500000000000
2002-01-01,389.2572500000000000
2003-01-01,397.6545000000000000
2004-01-01,422.0727500000000000
2005-01-01,445.5990000000000000
2006-01-01,478.0317500000000000
2007-01-01,517.2885000000000000
2008-01-01,530.1245000000000000
2009-01-01,501.6560000000000000
2010-01-01,533.8980000000000000
2011-01-01,563.0655000000000000
2012-01-01,603.2960000000000000
2013-01-01,625.3490000000000000
2014-01-01,643.5360000000000000
2015-01-01,659.9490000000000000
2016-01-01,680.5570000000000000
2017-01-01,720.4900000000000000
2018-01-01,778.6460000000000000
2019-01-01,808.4167500000000000
2020-01-01,848.5510000000000000
