DATE,PCES
1959-01-01,144.5250000000000000
1960-01-01,154.1500000000000000
1961-01-01,162.6750000000000000
1962-01-01,173.5833333333333333
1963-01-01,183.8833333333333333
1964-01-01,198.3916666666666667
1965-01-01,213.2916666666666667
1966-01-01,230.2916666666666667
1967-01-01,247.6916666666666667
1968-01-01,272.2416666666666667
1969-01-01,298.9666666666666667
1970-01-01,327.9250000000000000
1971-01-01,357.8166666666666667
1972-01-01,394.3416666666666667
1973-01-01,432.9416666666666667
1974-01-01,478.6250000000000000
1975-01-01,539.2083333333333333
1976-01-01,601.3416666666666667
1977-01-01,673.6000000000000000
1978-01-01,758.6750000000000000
1979-01-01,847.4916666666666667
1980-01-01,950.8666666666666667
1981-01-01,1064.5916666666666667
1982-01-01,1171.9583333333333333
1983-01-01,1307.8166666666666667
1984-01-01,1428.6333333333333333
1985-01-01,1575.2166666666666667
1986-01-01,1690.6500000000000000
1987-01-01,1819.9750000000000000
1988-01-01,1992.7083333333333333
1989-01-01,2152.9583333333333333
1990-01-01,2317.7000000000000000
1991-01-01,2446.0166666666666667
1992-01-01,2634.2916666666666667
1993-01-01,2809.6333333333333333
1994-01-01,2974.4333333333333333
1995-01-01,3147.0500000000000000
1996-01-01,3326.9250000000000000
1997-01-01,3530.2916666666666667
1998-01-01,3768.8000000000000000
1999-01-01,3992.0166666666666667
2000-01-01,4308.9583333333333333
2001-01-01,4540.0416666666666667
2002-01-01,4743.8833333333333333
2003-01-01,5000.5083333333333333
2004-01-01,5310.6416666666666667
2005-01-01,5664.2000000000000000
2006-01-01,6020.6916666666666667
2007-01-01,6339.4083333333333333
2008-01-01,6613.1166666666666667
2009-01-01,6662.2000000000000000
2010-01-01,6868.0083333333333333
2011-01-01,7122.9916666666666667
2012-01-01,7369.0666666666666667
2013-01-01,7587.2416666666666667
2014-01-01,7959.8000000000000000
2015-01-01,8374.4916666666666667
2016-01-01,8771.5916666666666667
2017-01-01,9168.1000000000000000
2018-01-01,9621.4333333333333333
2019-01-01,10032.3833333333333333
2020-01-01,9486.2416666666666667
2021-01-01,.
