DATE,B009RC1Q027SBEA
1947-01-01,8.1370000000000000
1948-01-01,9.5260000000000000
1949-01-01,9.1780000000000000
1950-01-01,9.9570000000000000
1951-01-01,11.9540000000000000
1952-01-01,12.2240000000000000
1953-01-01,13.5700000000000000
1954-01-01,13.8650000000000000
1955-01-01,15.1570000000000000
1956-01-01,18.1800000000000000
1957-01-01,18.9500000000000000
1958-01-01,17.6290000000000000
1959-01-01,18.1492500000000000
1960-01-01,19.5682500000000000
1961-01-01,19.7150000000000000
1962-01-01,20.7782500000000000
1963-01-01,21.1982500000000000
1964-01-01,23.7370000000000000
1965-01-01,28.3212500000000000
1966-01-01,31.3485000000000000
1967-01-01,31.5110000000000000
1968-01-01,33.5572500000000000
1969-01-01,37.6987500000000000
1970-01-01,40.2870000000000000
1971-01-01,42.6787500000000000
1972-01-01,47.1730000000000000
1973-01-01,54.9830000000000000
1974-01-01,61.2370000000000000
1975-01-01,61.3500000000000000
1976-01-01,65.9150000000000000
1977-01-01,74.5780000000000000
1978-01-01,93.5835000000000000
1979-01-01,117.7012500000000000
1980-01-01,136.1702500000000000
1981-01-01,167.3137500000000000
1982-01-01,177.5637500000000000
1983-01-01,154.3437500000000000
1984-01-01,177.3972500000000000
1985-01-01,194.5180000000000000
1986-01-01,176.5270000000000000
1987-01-01,174.2025000000000000
1988-01-01,182.7900000000000000
1989-01-01,193.7162500000000000
1990-01-01,202.9170000000000000
1991-01-01,183.6062500000000000
1992-01-01,172.5722500000000000
1993-01-01,177.1510000000000000
1994-01-01,186.7677500000000000
1995-01-01,207.2705000000000000
1996-01-01,224.5827500000000000
1997-01-01,250.2655000000000000
1998-01-01,276.0037500000000000
1999-01-01,285.7235000000000000
2000-01-01,321.0050000000000000
2001-01-01,333.5102500000000000
2002-01-01,286.9862500000000000
2003-01-01,286.6052500000000000
2004-01-01,307.6532500000000000
2005-01-01,352.9582500000000000
2006-01-01,425.1862500000000000
2007-01-01,510.3022500000000000
2008-01-01,571.1067500000000000
2009-01-01,455.8165000000000000
2010-01-01,379.7835000000000000
2011-01-01,404.4570000000000000
2012-01-01,479.4352500000000000
2013-01-01,492.5212500000000000
2014-01-01,577.6242500000000000
2015-01-01,584.3525000000000000
2016-01-01,560.2850000000000000
2017-01-01,599.0687500000000000
2018-01-01,631.4020000000000000
2019-01-01,650.2227500000000000
2020-01-01,587.3027500000000000
