DATE,GDPC1
1947-01-01,2034.8137500000000000
1948-01-01,2118.5115000000000000
1949-01-01,2106.5592500000000000
1950-01-01,2289.5460000000000000
1951-01-01,2473.7582500000000000
1952-01-01,2574.8985000000000000
1953-01-01,2695.6142500000000000
1954-01-01,2680.0225000000000000
1955-01-01,2871.1977500000000000
1956-01-01,2932.3875000000000000
1957-01-01,2994.1320000000000000
1958-01-01,2971.9515000000000000
1959-01-01,3178.1820000000000000
1960-01-01,3259.9707500000000000
1961-01-01,3343.5467500000000000
1962-01-01,3548.4085000000000000
1963-01-01,3702.9432500000000000
1964-01-01,3916.2795000000000000
1965-01-01,4170.7497500000000000
1966-01-01,4445.8530000000000000
1967-01-01,4567.7807500000000000
1968-01-01,4792.3147500000000000
1969-01-01,4942.0670000000000000
1970-01-01,4951.2615000000000000
1971-01-01,5114.3245000000000000
1972-01-01,5383.2817500000000000
1973-01-01,5687.2067500000000000
1974-01-01,5656.4650000000000000
1975-01-01,5644.8430000000000000
1976-01-01,5948.9950000000000000
1977-01-01,6224.0865000000000000
1978-01-01,6568.6082500000000000
1979-01-01,6776.5800000000000000
1980-01-01,6759.1807500000000000
1981-01-01,6930.7102500000000000
1982-01-01,6805.7580000000000000
1983-01-01,7117.7287500000000000
1984-01-01,7632.8122500000000000
1985-01-01,7951.0740000000000000
1986-01-01,8226.3915000000000000
1987-01-01,8510.9900000000000000
1988-01-01,8866.4987500000000000
1989-01-01,9192.1340000000000000
1990-01-01,9365.4940000000000000
1991-01-01,9355.3547500000000000
1992-01-01,9684.8917500000000000
1993-01-01,9951.5025000000000000
1994-01-01,10352.4317500000000000
1995-01-01,10630.3205000000000000
1996-01-01,11031.3497500000000000
1997-01-01,11521.9382500000000000
1998-01-01,12038.2830000000000000
1999-01-01,12610.491250000000
2000-01-01,13130.986500000000
2001-01-01,13262.079250000000
2002-01-01,13493.064500000000
2003-01-01,13879.128500000000
2004-01-01,14406.382500000000
2005-01-01,14912.508750000000
2006-01-01,15338.256750000000
2007-01-01,15626.029500000000
2008-01-01,15604.687500000000
2009-01-01,15208.834250000000
2010-01-01,15598.753500000000
2011-01-01,15840.664250000000
2012-01-01,16197.007500000000
2013-01-01,16495.369500000000
2014-01-01,16912.037750000000
2015-01-01,17432.170000000000
2016-01-01,17730.508500000000
2017-01-01,18144.104750000000
2018-01-01,18687.786000000000
2019-01-01,19091.662250000000
2020-01-01,18423.445500000000
