DATE,PRFI
1947-01-01,12.2085000000000000
1948-01-01,15.8080000000000000
1949-01-01,14.8410000000000000
1950-01-01,20.7437500000000000
1951-01-01,18.6612500000000000
1952-01-01,18.8582500000000000
1953-01-01,19.6990000000000000
1954-01-01,21.4417500000000000
1955-01-01,25.4037500000000000
1956-01-01,23.9872500000000000
1957-01-01,22.6310000000000000
1958-01-01,22.8225000000000000
1959-01-01,28.6282500000000000
1960-01-01,26.8557500000000000
1961-01-01,27.0110000000000000
1962-01-01,29.6430000000000000
1963-01-01,32.8545000000000000
1964-01-01,35.1005000000000000
1965-01-01,35.1627500000000000
1966-01-01,33.3785000000000000
1967-01-01,33.6270000000000000
1968-01-01,40.1992500000000000
1969-01-01,44.3752500000000000
1970-01-01,43.4105000000000000
1971-01-01,58.1525000000000000
1972-01-01,72.3992500000000000
1973-01-01,78.3217500000000000
1974-01-01,69.4670000000000000
1975-01-01,66.7332500000000000
1976-01-01,86.7625000000000000
1977-01-01,115.2287500000000000
1978-01-01,138.0097500000000000
1979-01-01,147.8412500000000000
1980-01-01,129.5200000000000000
1981-01-01,128.4820000000000000
1982-01-01,110.8477500000000000
1983-01-01,161.1127500000000000
1984-01-01,190.3640000000000000
1985-01-01,200.0765000000000000
1986-01-01,234.8120000000000000
1987-01-01,249.7897500000000000
1988-01-01,256.2002500000000000
1989-01-01,256.0145000000000000
1990-01-01,239.6687500000000000
1991-01-01,221.1537500000000000
1992-01-01,254.7412500000000000
1993-01-01,286.8085000000000000
1994-01-01,323.8472500000000000
1995-01-01,324.0690000000000000
1996-01-01,358.0612500000000000
1997-01-01,375.5855000000000000
1998-01-01,418.8072500000000000
1999-01-01,461.7660000000000000
2000-01-01,485.4320000000000000
2001-01-01,513.0585000000000000
2002-01-01,557.5945000000000000
2003-01-01,637.0820000000000000
2004-01-01,749.8167500000000000
2005-01-01,856.2212500000000000
2006-01-01,838.1640000000000000
2007-01-01,690.4975000000000000
2008-01-01,515.9835000000000000
2009-01-01,390.0037500000000000
2010-01-01,376.5747500000000000
2011-01-01,378.8355000000000000
2012-01-01,432.0150000000000000
2013-01-01,509.9885000000000000
2014-01-01,560.1557500000000000
2015-01-01,633.8210000000000000
2016-01-01,699.4900000000000000
2017-01-01,760.3472500000000000
2018-01-01,798.4905000000000000
2019-01-01,807.1292500000000000
2020-01-01,885.0472500000000000
