Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.739640688091588,0.9511708094154503,0.9521634827073302,0.9539906732041187
sigma_IY,2.420010416617837,1.6290786892631708,1.62618802740724,1.6195858771542269
sigma_NY,0.360246050887022,0.28942203988080123,0.2891396317130564,0.2885471292722682
sigma_PrY,0.5849643215890934,0.7108298096452945,0.7110166383905057,0.7117364939710481
rho_IY,0.8736298710055241,0.8078847396531432,0.8071678523088013,0.8062036450917374
rho_KY,0.7536735901105711,0.7270589453021145,0.7279492326843577,0.7288476110631902
rho_CY,0.812398225850268,0.9315415497225044,0.9314719577988287,0.9317781259046578
rho_NY,0.959489856417597,0.9581717819560734,0.9581354945892047,0.9581654469462317
rho_PrY,0.9772452288331078,0.9980928264376296,0.9980911003578747,0.9980859788569276
rho_PrN,0.9973959434040668,0.9739571800181135,0.973855546700408,0.9737348693409799
