Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.5354158957228479,0.8511858549280875,0.8527030007266126,0.8565183675905399
sigma_IY,2.6320870689710674,1.7627326037652582,1.7588995029762284,1.7486941346715665
sigma_NY,0.26019407107026526,0.4150534594099518,0.41698633093858545,0.42091952430522306
sigma_PrY,0.7852424283088939,1.0839061923167788,1.0845486474093944,1.0875204324353547
rho_IY,0.9604321305122141,0.8887735965696505,0.8877489734564846,0.8856037012202108
rho_KY,0.6141671751558145,0.6255489952316766,0.627440586139414,0.629790337910111
rho_CY,0.8765330059459707,0.9429968013131904,0.9427267887881038,0.9427611777086772
rho_NY,0.1589191205949403,-0.7089037636746969,-0.7063085796053498,-0.7053930372389056
rho_PrY,0.9902916120621976,0.9988486486046906,0.9987752940334717,0.998605835223458
rho_PrN,0.2864643887064709,-0.7410872893285348,-0.7382832094762061,-0.7369135290073852
