Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.5595201579741328,0.9403465669354741,0.9418323821604547,0.9454677916762366
sigma_IY,2.5493498491956017,1.4762838530375204,1.4725795803872601,1.4627060984138753
sigma_NY,0.17034132080019065,0.32056094677191194,0.3217401123924488,0.3242092174007058
sigma_PrY,0.8050672853870937,1.0751288316716896,1.0755335473269374,1.0776250712273459
rho_IY,0.9587839363647584,0.8642634373714613,0.8630571736151902,0.8606112791137195
rho_KY,0.6265269912521587,0.661197415953397,0.6629290820102951,0.6648647654087939
rho_CY,0.8899382600737584,0.9605709911237714,0.9603058807929671,0.9602637756067833
rho_NY,0.059413170411633597,-0.8293180269800632,-0.8272585979551488,-0.8261567503564118
rho_PrY,0.979808058102024,0.9999577134032764,0.9999081002482615,0.999799389397286
rho_PrN,0.2449270293383814,-0.8340886993970318,-0.8319836937992788,-0.8307848501024732
