Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.7417093052436244,0.9777656055424552,0.9787763405272566,0.9806247296994215
sigma_IY,2.4115053512963067,1.5278731450960097,1.5249861768108035,1.5183652386576392
sigma_NY,0.239676912733542,0.1870009066268351,0.18681232707399703,0.18641698906681048
sigma_PrY,0.6609872050467707,0.7806722168313243,0.7808131512826201,0.7814222461461993
rho_IY,0.8731494336827225,0.7983762121597333,0.797587424673631,0.7965457641218487
rho_KY,0.7552695621382923,0.7364092654683804,0.7373172575774004,0.7381942338567147
rho_CY,0.8139963397484449,0.9407345546514388,0.9406500647939516,0.940902633586675
rho_NY,0.9594267314622071,0.9590472834779291,0.9590096959836018,0.9590502158600593
rho_PrY,0.9754322619858314,0.9975151396469039,0.99751721352163,0.9975215958239856
rho_PrN,0.9979390373638868,0.9765752222928924,0.9764827302762252,0.9763816041269909
