Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.660417208418065,0.9793090741694777,0.9806725141216576,0.9836159535720275
sigma_IY,2.395373098436889,1.4035726597757838,1.399972963619344,1.3910246107146338
sigma_NY,0.17496008488502462,0.09361811862969656,0.0937747561032402,0.09374446566724516
sigma_PrY,0.7215691947723486,0.8920711218624839,0.8922976334709529,0.893455545964412
rho_IY,0.9246351153675579,0.8327576654221697,0.8316527716502915,0.8298017218681598
rho_KY,0.6894104974240461,0.700642612955264,0.7020448649144456,0.7034904528336594
rho_CY,0.8686467898118241,0.959412782914285,0.9592365785020845,0.959340556956664
rho_NY,0.7992136245588861,0.22785079784248127,0.2209331346591441,0.20770245958420624
rho_PrY,0.9768332567751008,0.9993825924339983,0.9993604473661679,0.9993171254171979
rho_PrN,0.9077045408294038,0.26046379290208416,0.25331274068440285,0.23949447636395652
