Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.6374814280528834,0.8569071455209482,0.8582393172294491,0.8612603547568737
sigma_IY,2.482027094787264,1.8168207447565636,1.8131082918236914,1.8039095666062546
sigma_NY,0.3682389633944501,0.24833152796371039,0.24810103472208717,0.24712025659495357
sigma_PrY,0.6172043467485787,0.7939737183201001,0.7943925094844988,0.7962386042288742
rho_IY,0.9272318945584417,0.8703732139119115,0.8695897231794355,0.8681610526681947
rho_KY,0.6754284541881896,0.654877684188908,0.6563160907536402,0.6580503835062853
rho_CY,0.8536520167854905,0.9292512463504161,0.9291133621064848,0.9294200950644986
rho_NY,0.8132013155742291,0.543826893653397,0.5387000886047577,0.5292015572783542
rho_PrY,0.9898741386123208,0.9999624723021833,0.9999094428171112,0.9997974897841617
rho_PrN,0.8864001925560798,0.537703825669739,0.5324165657349387,0.5223631366397872
