Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.6499337691407426,0.9271231794260977,0.9285123226946702,0.9315603518279268
sigma_IY,2.4351334229161554,1.5831648031586074,1.5794438874692156,1.5702002536014346
sigma_NY,0.26875474660582943,0.15873950095756695,0.15878247550263627,0.15839449780654266
sigma_PrY,0.6705403634499927,0.8555143275946451,0.8558615346234558,0.8573930225779706
rho_IY,0.9257946355980723,0.8493705335659323,0.8483886203917573,0.8466934676463119
rho_KY,0.6830960368148032,0.6806300013961373,0.6820717012089511,0.683680806643495
rho_CY,0.8619187459034178,0.9475333982322707,0.9473608971561763,0.9475400169900644
rho_NY,0.8057185523899875,0.38611837753994244,0.3795142078158874,0.3672455567613121
rho_PrY,0.9834957602499771,0.9999070025662051,0.9998716310718985,0.999798603458674
rho_PrN,0.8981682160398683,0.39790821278956956,0.3911228916892392,0.3783417122810415
