Moments,ree,gain0_001,gain0_005,gain0_01
sigma_CY,0.736910361563207,0.9122151203759213,0.9131359425357435,0.9148663783998647
sigma_IY,2.431143579472498,1.7749124251890138,1.7721178204823194,1.7657393873816896
sigma_NY,0.48159914516253627,0.4032185982478129,0.402857172062702,0.4020940507291953
sigma_PrY,0.5088043662551187,0.6304908367014946,0.6307026062720008,0.6315038312101382
rho_IY,0.8742704587714419,0.8214668347799383,0.8208744422877576,0.8200486675345036
rho_KY,0.7515783055191658,0.7144694016233272,0.7153035170315835,0.7161921358999598
rho_CY,0.810293450503627,0.9166610844073703,0.9166202775260114,0.917006525312367
rho_NY,0.959579515156548,0.9574877782030561,0.9574558183762046,0.9574724017744879
rho_PrY,0.9794935755913217,0.9984485551064421,0.9984413740192158,0.9984255420608477
rho_PrN,0.9965782637908778,0.9719690211138208,0.971865403396876,0.9717235002778649
