DATE,A679RC1Q027SBEA
2009-01-01,491.161
2009-04-01,489.848
2009-07-01,503.486
2009-10-01,522.129
2010-01-01,525.88
2010-04-01,528.024
2010-07-01,537.761
2010-10-01,543.927
2011-01-01,544.668
2011-04-01,559.155
2011-07-01,570.968
2011-10-01,577.471
2012-01-01,596.987
2012-04-01,605.909
2012-07-01,597.93
2012-10-01,612.358
2013-01-01,630.974
2013-04-01,617.219
2013-07-01,625.446
2013-10-01,627.757
2014-01-01,630.507
2014-04-01,645.423
2014-07-01,646.229
2014-10-01,651.985
2015-01-01,652.398
2015-04-01,656.118
2015-07-01,663.309
2015-10-01,667.971
2016-01-01,674.277
2016-04-01,676.35
2016-07-01,682.638
2016-10-01,688.963
2017-01-01,699.209
2017-04-01,715.625
2017-07-01,724.758
2017-10-01,742.368
2018-01-01,762.889
2018-04-01,773.487
2018-07-01,786.916
2018-10-01,791.292
2019-01-01,802.937
2019-04-01,806.747
2019-07-01,812.342
2019-10-01,811.641
2020-01-01,804.729
2020-04-01,822.605
2020-07-01,872.846
2020-10-01,894.024
