DATE,PCEDG
1959-01-01,43.6333333333333333
1959-04-01,45.5000000000000000
1959-07-01,46.3333333333333333
1959-10-01,44.1000000000000000
1960-01-01,45.4333333333333333
1960-04-01,46.4333333333333333
1960-07-01,45.9333333333333333
1960-10-01,44.7000000000000000
1961-01-01,42.2333333333333333
1961-04-01,43.3333333333333333
1961-07-01,44.5666666666666667
1961-10-01,46.6666666666666667
1962-01-01,47.7000000000000000
1962-04-01,49.0333333333333333
1962-07-01,49.5666666666666667
1962-10-01,51.5333333333333333
1963-01-01,52.6000000000000000
1963-04-01,53.9000000000000000
1963-07-01,54.7333333333333333
1963-10-01,55.7333333333333333
1964-01-01,57.9666666666666667
1964-04-01,59.5000000000000000
1964-07-01,61.3333333333333333
1964-10-01,59.3666666666666667
1965-01-01,64.9333333333333333
1965-04-01,64.8000000000000000
1965-07-01,66.7000000000000000
1965-10-01,69.1333333333333333
1966-01-01,72.3000000000000000
1966-04-01,69.7333333333333333
1966-07-01,72.3333333333333333
1966-10-01,72.6333333333333333
1967-01-01,71.1333333333333333
1967-04-01,74.5000000000000000
1967-07-01,74.6666666666666667
1967-10-01,75.6333333333333333
1968-01-01,80.8666666666666667
1968-04-01,83.0666666666666667
1968-07-01,87.5333333333333333
1968-10-01,87.8333333333333333
1969-01-01,90.0000000000000000
1969-04-01,90.4666666666666667
1969-07-01,90.6333333333333333
1969-10-01,90.8333333333333333
1970-01-01,89.6000000000000000
1970-04-01,91.0333333333333333
1970-07-01,92.0000000000000000
1970-10-01,87.3333333333333333
1971-01-01,98.0666666666666667
1971-04-01,100.9666666666666667
1971-07-01,103.4333333333333333
1971-10-01,107.3000000000000000
1972-01-01,110.7000000000000000
1972-04-01,114.0666666666666667
1972-07-01,117.6000000000000000
1972-10-01,123.4000000000000000
1973-01-01,131.8333333333333333
1973-04-01,131.3000000000000000
1973-07-01,130.8000000000000000
1973-10-01,128.2333333333333333
1974-01-01,126.6666666666666667
1974-04-01,130.6000000000000000
1974-07-01,136.3333333333333333
1974-10-01,127.1333333333333333
1975-01-01,131.7666666666666667
1975-04-01,136.7000000000000000
1975-07-01,146.7666666666666667
1975-10-01,153.3666666666666667
1976-01-01,163.3000000000000000
1976-04-01,165.9000000000000000
1976-07-01,169.8666666666666667
1976-10-01,175.4333333333333333
1977-01-01,183.9333333333333333
1977-04-01,189.2333333333333333
1977-07-01,194.0000000000000000
1977-10-01,200.7000000000000000
1978-01-01,198.1333333333333333
1978-04-01,216.2000000000000000
1978-07-01,216.7333333333333333
1978-10-01,222.2666666666666667
1979-01-01,223.2666666666666667
1979-04-01,222.1333333333333333
1979-07-01,230.9000000000000000
1979-10-01,229.0666666666666667
1980-01-01,232.0333333333333333
1980-04-01,211.9333333333333333
1980-07-01,225.3666666666666667
1980-10-01,236.2333333333333333
1981-01-01,246.0333333333333333
1981-04-01,240.9666666666666667
1981-07-01,251.9333333333333333
1981-10-01,236.8666666666666667
1982-01-01,246.4333333333333333
1982-04-01,249.2333333333333333
1982-07-01,252.1333333333333333
1982-10-01,264.3333333333333333
1983-01-01,268.9000000000000000
1983-04-01,289.5666666666666667
1983-07-01,302.4000000000000000
1983-10-01,319.3000000000000000
1984-01-01,331.4333333333333333
1984-04-01,341.2666666666666667
1984-07-01,342.0666666666666667
1984-10-01,353.8333333333333333
1985-01-01,368.0000000000000000
1985-04-01,373.2333333333333333
1985-07-01,396.4333333333333333
1985-10-01,383.7333333333333333
1986-01-01,391.6333333333333333
1986-04-01,407.3000000000000000
1986-07-01,445.7000000000000000
1986-10-01,441.1333333333333333
1987-01-01,418.5000000000000000
1987-04-01,439.1000000000000000
1987-07-01,460.5333333333333333
1987-10-01,449.9666666666666667
1988-01-01,470.4666666666666667
1988-04-01,473.2666666666666667
1988-07-01,470.4000000000000000
1988-10-01,486.2000000000000000
1989-01-01,486.4666666666666667
1989-04-01,493.3333333333333333
1989-07-01,505.6333333333333333
1989-10-01,491.8666666666666667
1990-01-01,515.3666666666666667
1990-04-01,498.4333333333333333
1990-07-01,493.5666666666666667
1990-10-01,480.9333333333333333
1991-01-01,471.7000000000000000
1991-04-01,475.2333333333333333
1991-07-01,484.3666666666666667
1991-10-01,477.4333333333333333
1992-01-01,496.2000000000000000
1992-04-01,500.9666666666666667
1992-07-01,512.0666666666666667
1992-10-01,523.0666666666666667
1993-01-01,527.8333333333333333
1993-04-01,547.8666666666666667
1993-07-01,556.6333333333333333
1993-10-01,573.8000000000000000
1994-01-01,588.8333333333333333
1994-04-01,598.7333333333333333
1994-07-01,609.3000000000000000
1994-10-01,631.8000000000000000
1995-01-01,621.2666666666666667
1995-04-01,626.9333333333333333
1995-07-01,642.5333333333333333
1995-10-01,652.2333333333333333
1996-01-01,659.8000000000000000
1996-04-01,676.3333333333333333
1996-07-01,679.4000000000000000
1996-10-01,689.6000000000000000
1997-01-01,705.6000000000000000
1997-04-01,696.6000000000000000
1997-07-01,722.7666666666666667
1997-10-01,737.2000000000000000
1998-01-01,737.7000000000000000
1998-04-01,769.2333333333333333
1998-07-01,785.0666666666666667
1998-10-01,825.1666666666666667
1999-01-01,819.9666666666666667
1999-04-01,854.8000000000000000
1999-07-01,871.1666666666666667
1999-10-01,876.3333333333333333
2000-01-01,920.8666666666666667
2000-04-01,901.9333333333333333
2000-07-01,911.6666666666666667
2000-10-01,915.8333333333333333
2001-01-01,926.8333333333333333
2001-04-01,919.4666666666666667
2001-07-01,923.8666666666666667
2001-10-01,995.9000000000000000
2002-01-01,976.2666666666666667
2002-04-01,977.4000000000000000
