DATE,PCEND
1959-01-01,126.0666666666666667
1959-04-01,127.1666666666666667
1959-07-01,128.2000000000000000
1959-10-01,129.5000000000000000
1960-01-01,129.6000000000000000
1960-04-01,131.9666666666666667
1960-07-01,131.5666666666666667
1960-10-01,132.4000000000000000
1961-01-01,133.4000000000000000
1961-04-01,134.2333333333333333
1961-07-01,134.6000000000000000
1961-10-01,136.1666666666666667
1962-01-01,137.8333333333333333
1962-04-01,138.7666666666666667
1962-07-01,139.9666666666666667
1962-10-01,141.5000000000000000
1963-01-01,142.4666666666666667
1963-04-01,142.8000000000000000
1963-07-01,145.1666666666666667
1963-10-01,145.3000000000000000
1964-01-01,148.6333333333333333
1964-04-01,151.4666666666666667
1964-07-01,154.8666666666666667
1964-10-01,155.7666666666666667
1965-01-01,157.7666666666666667
1965-04-01,160.7666666666666667
1965-07-01,164.0666666666666667
1965-10-01,170.5333333333333333
1966-01-01,174.0666666666666667
1966-04-01,177.2666666666666667
1966-07-01,179.7666666666666667
1966-10-01,180.4000000000000000
1967-01-01,182.3666666666666667
1967-04-01,184.0333333333333333
1967-07-01,185.7666666666666667
1967-10-01,187.8666666666666667
1968-01-01,193.5666666666666667
1968-04-01,197.8000000000000000
1968-07-01,202.8333333333333333
1968-10-01,205.0000000000000000
1969-01-01,208.8333333333333333
1969-04-01,212.2333333333333333
1969-07-01,215.9666666666666667
1969-10-01,219.7333333333333333
1970-01-01,224.5000000000000000
1970-04-01,226.5666666666666667
1970-07-01,229.7000000000000000
1970-10-01,234.4666666666666667
1971-01-01,235.8000000000000000
1971-04-01,238.8333333333333333
1971-07-01,240.4000000000000000
1971-10-01,243.6000000000000000
1972-01-01,247.0333333333333333
1972-04-01,254.3000000000000000
1972-07-01,260.1000000000000000
1972-10-01,268.0666666666666667
1973-01-01,275.4333333333333333
1973-04-01,281.4000000000000000
1973-07-01,289.9000000000000000
1973-10-01,297.7000000000000000
1974-01-01,308.8666666666666667
1974-04-01,318.0000000000000000
1974-07-01,327.6666666666666667
1974-10-01,330.9000000000000000
1975-01-01,336.2000000000000000
1975-04-01,344.8333333333333333
1975-07-01,355.9333333333333333
1975-10-01,359.6666666666666667
1976-01-01,367.4333333333333333
1976-04-01,373.1000000000000000
1976-07-01,380.6000000000000000
1976-10-01,389.5666666666666667
1977-01-01,396.4333333333333333
1977-04-01,403.7000000000000000
1977-07-01,409.9000000000000000
1977-10-01,423.6333333333333333
1978-01-01,431.0666666666666667
1978-04-01,444.8000000000000000
1978-07-01,455.6000000000000000
1978-10-01,469.4000000000000000
1979-01-01,484.5666666666666667
1979-04-01,500.0666666666666667
1979-07-01,522.3333333333333333
1979-10-01,539.4000000000000000
1980-01-01,559.9333333333333333
1980-04-01,565.9000000000000000
1980-07-01,576.5000000000000000
1980-10-01,591.2333333333333333
1981-01-01,614.0666666666666667
1981-04-01,622.8666666666666667
1981-07-01,629.1333333333333333
1981-10-01,635.7000000000000000
1982-01-01,639.8666666666666667
1982-04-01,638.7000000000000000
1982-07-01,649.7333333333333333
1982-10-01,656.7666666666666667
1983-01-01,657.0333333333333333
1983-04-01,673.0333333333333333
1983-07-01,688.4333333333333333
1983-10-01,696.5000000000000000
1984-01-01,706.4666666666666667
1984-04-01,722.4000000000000000
1984-07-01,724.6000000000000000
1984-10-01,732.7666666666666667
1985-01-01,742.3666666666666667
1985-04-01,752.7666666666666667
1985-07-01,760.4666666666666667
1985-10-01,773.3666666666666667
1986-01-01,779.2666666666666667
1986-04-01,767.4333333333333333
1986-07-01,771.0666666666666667
1986-10-01,779.0000000000000000
1987-01-01,797.4000000000000000
1987-04-01,812.2666666666666667
1987-07-01,820.6666666666666667
1987-10-01,826.8000000000000000
1988-01-01,838.4000000000000000
1988-04-01,853.5666666666666667
1988-07-01,870.7666666666666667
1988-10-01,886.3333333333333333
1989-01-01,902.5333333333333333
1989-04-01,927.7666666666666667
1989-07-01,936.2666666666666667
1989-10-01,951.3333333333333333
1990-01-01,974.1666666666666667
1990-04-01,980.8333333333333333
1990-07-01,1003.1333333333333333
1990-10-01,1018.7666666666666667
1991-01-01,1014.1666666666666667
1991-04-01,1021.7333333333333333
1991-07-01,1024.4000000000000000
1991-10-01,1020.6666666666666667
1992-01-01,1037.6666666666666667
1992-04-01,1047.2000000000000000
1992-07-01,1061.0333333333333333
1992-10-01,1074.8000000000000000
1993-01-01,1079.1333333333333333
1993-04-01,1086.3333333333333333
1993-07-01,1092.5333333333333333
1993-10-01,1105.3000000000000000
1994-01-01,1116.8333333333333333
1994-04-01,1128.1000000000000000
1994-07-01,1149.6000000000000000
1994-10-01,1163.0000000000000000
1995-01-01,1166.8666666666666667
1995-04-01,1177.0000000000000000
1995-07-01,1183.6666666666666667
1995-10-01,1191.6333333333333333
1996-01-01,1211.1666666666666667
1996-04-01,1239.5333333333333333
1996-07-01,1246.5000000000000000
1996-10-01,1268.3000000000000000
1997-01-01,1281.0000000000000000
1997-04-01,1277.7333333333333333
1997-07-01,1297.3333333333333333
1997-10-01,1307.8000000000000000
1998-01-01,1306.6666666666666667
1998-04-01,1319.9000000000000000
1998-07-01,1334.8333333333333333
1998-10-01,1355.1333333333333333
1999-01-01,1384.9666666666666667
1999-04-01,1418.2666666666666667
1999-07-01,1440.0666666666666667
1999-10-01,1482.6666666666666667
2000-01-01,1492.2000000000000000
2000-04-01,1535.1000000000000000
2000-07-01,1557.4666666666666667
2000-10-01,1577.6000000000000000
2001-01-01,1572.4333333333333333
2001-04-01,1590.6333333333333333
2001-07-01,1591.3666666666666667
